channel	perf1	perf2	perf3
50	1	1	0
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	0	1	1
50	1	1	0
50	1	1	1
50	0	0	0
50	1	1	1
50	0	1	1
50	1	1	0
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	0
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	0	0
50	1	1	1
50	1	1	1
50	1	1	0
50	0	1	1
50	1	0	1
50	1	1	0
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	0	1	1
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	1
50	1	0	0
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	0	0
50	0	0	0
50	0	0	1
50	1	1	1
50	1	1	1
50	0	1	0
50	0	1	0
50	1	1	1
50	0	0	1
50	1	1	1
50	1	1	0
50	1	0	0
50	1	0	1
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	0	0
50	1	0	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	0
50	1	1	1
50	1	0	1
50	0	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	0	1
50	1	1	1
50	0	1	1
50	1	0	1
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	0	1	1
50	0	1	0
50	1	1	1
50	1	1	0
50	0	1	0
50	1	0	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	0	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	0	1
50	0	0	1
50	1	1	0
50	1	1	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
50	1	0	1
50	1	1	1
50	1	1	1
50	1	1	1
50	0	1	1
50	1	1	1
